feature_original,importancia_bruta,importancia_normalizada,modelo
turma,7.6776518273191305,0.3771912069489822,Regressao Logistica
fase_programa,4.750811425408839,0.23340004676438808,Regressao Logistica
defasagem,1.1064754722203052,0.054359435438472145,Regressao Logistica
pedra_ano,0.8888067686474885,0.04366570734787189,Regressao Logistica
idade,0.7540123530327937,0.03704346535784369,Regressao Logistica
instituicao_ensino,0.6574013111419661,0.03229711369785649,Regressao Logistica
genero,0.6223223817824337,0.030573739937077307,Regressao Logistica
inde_22,0.5418987110276146,0.026622648884558172,Regressao Logistica
inde_ano,0.5418987110276146,0.026622648884558172,Regressao Logistica
ipv,0.42566475113652014,0.020912253492079126,Regressao Logistica
ieg,0.3065481911672847,0.015060240398370603,Regressao Logistica
ips,0.3013153901951238,0.014803160947673193,Regressao Logistica
nota_matematica,0.2869644403325591,0.014098120888385267,Regressao Logistica
media_notas,0.2761100966546053,0.013564863704468914,Regressao Logistica
nota_portugues,0.26177129515008785,0.012860420475297459,Regressao Logistica
media_comportamental,0.2520057997928883,0.012380656732022457,Regressao Logistica
ian,0.2376692052950978,0.01167632192969163,Regressao Logistica
ida,0.23600368766654217,0.011594497614309895,Regressao Logistica
nota_ingles,0.21869621113671847,0.010744207954352119,Regressao Logistica
iaa,0.009605800934415707,0.00047191820229090445,Regressao Logistica
desalinhamento_autoavaliacao,0.001166826723631457,5.73243994499494e-05,Regressao Logistica
defasagem,0.1776684239313851,0.1776684239313851,Random Forest
ian,0.12336216212983254,0.12336216212983254,Random Forest
inde_22,0.09223029020062347,0.09223029020062347,Random Forest
inde_ano,0.09065694935590715,0.09065694935590715,Random Forest
ipv,0.06583763503584505,0.06583763503584505,Random Forest
fase_programa,0.06257755192297342,0.06257755192297342,Random Forest
idade,0.04697174319847821,0.04697174319847821,Random Forest
instituicao_ensino,0.04552142886436261,0.04552142886436261,Random Forest
media_notas,0.040479418235951935,0.040479418235951935,Random Forest
pedra_ano,0.03616653650108853,0.03616653650108853,Random Forest
ida,0.03229557387379178,0.03229557387379178,Random Forest
nota_matematica,0.03155378108381727,0.03155378108381727,Random Forest
nota_portugues,0.028760691447457326,0.028760691447457326,Random Forest
genero,0.025619149440274436,0.025619149440274436,Random Forest
ieg,0.02413482140612326,0.02413482140612326,Random Forest
media_comportamental,0.02347428743351399,0.02347428743351399,Random Forest
desalinhamento_autoavaliacao,0.02139702314997067,0.02139702314997067,Random Forest
iaa,0.009590806468439092,0.009590806468439092,Random Forest
nota_ingles,0.008659998417862773,0.008659998417862773,Random Forest
turma,0.007906119246285736,0.007906119246285736,Random Forest
ips,0.005135608656015761,0.005135608656015761,Random Forest
ian,0.1702029169491406,0.1702029169491406,Extra Trees
pedra_ano,0.1547150130770461,0.1547150130770461,Extra Trees
instituicao_ensino,0.131935421092424,0.131935421092424,Extra Trees
defasagem,0.12011329773962973,0.12011329773962973,Extra Trees
fase_programa,0.1173991447802196,0.1173991447802196,Extra Trees
inde_22,0.06328074015419258,0.06328074015419258,Extra Trees
inde_ano,0.052371635905849055,0.052371635905849055,Extra Trees
genero,0.04637734181875653,0.04637734181875653,Extra Trees
ipv,0.03436070766603116,0.03436070766603116,Extra Trees
idade,0.018926805408710987,0.018926805408710987,Extra Trees
turma,0.018098424402322406,0.018098424402322406,Extra Trees
media_notas,0.014073148172214193,0.014073148172214193,Extra Trees
nota_matematica,0.013604441371547689,0.013604441371547689,Extra Trees
ida,0.013255040120573608,0.013255040120573608,Extra Trees
nota_portugues,0.008743903137941177,0.008743903137941177,Extra Trees
ieg,0.008311743172093666,0.008311743172093666,Extra Trees
media_comportamental,0.0055256689326230206,0.0055256689326230206,Extra Trees
desalinhamento_autoavaliacao,0.0027477661257409333,0.0027477661257409333,Extra Trees
nota_ingles,0.0026525808514999047,0.0026525808514999047,Extra Trees
ips,0.0021928088014797086,0.0021928088014797086,Extra Trees
iaa,0.0011114503199633082,0.0011114503199633082,Extra Trees
instituicao_ensino,0.13043572753667831,0.13043573069509956,XGBoost
defasagem,0.11717092990875244,0.11717093274597475,XGBoost
fase_programa,0.11127422377467155,0.11127422646910873,XGBoost
ian,0.09375198930501938,0.09375199157516638,XGBoost
ipv,0.0621463917195797,0.06214639322441651,XGBoost
genero,0.059247877448797226,0.05924787888344829,XGBoost
inde_ano,0.05900326371192932,0.059003265140657214,XGBoost
inde_22,0.057439010590314865,0.05743901198116533,XGBoost
nota_portugues,0.03893148899078369,0.03893148993348585,XGBoost
media_notas,0.036889687180519104,0.036889688073780284,XGBoost
pedra_ano,0.03614538721740246,0.036145388092640875,XGBoost
ieg,0.03321254253387451,0.03321254333809589,XGBoost
idade,0.027534179389476776,0.027534180056200067,XGBoost
nota_matematica,0.02521377056837082,0.02521377117890683,XGBoost
ips,0.023948591202497482,0.02394859178239795,XGBoost
desalinhamento_autoavaliacao,0.02353956177830696,0.023539562348303032,XGBoost
media_comportamental,0.022133294492959976,0.022133295028904147,XGBoost
ida,0.021961087360978127,0.021961087892752407,XGBoost
iaa,0.020020971074700356,0.020020971559495906,XGBoost
nota_ingles,0.0,0.0,XGBoost
turma,0.0,0.0,XGBoost
