ra,ano_base,prob_risco,risco_predito,nivel_risco
RA-381,2024,0.941856,1,Alto
RA-262,2024,0.9413534,1,Alto
RA-304,2024,0.941037,1,Alto
RA-558,2024,0.940119,1,Alto
RA-192,2024,0.9397043,1,Alto
RA-756,2024,0.9363573,1,Alto
RA-454,2024,0.9336605,1,Alto
RA-1610,2024,0.92627573,1,Alto
RA-1551,2024,0.9258935,1,Alto
RA-1170,2024,0.92568845,1,Alto
RA-1611,2024,0.9254116,1,Alto
RA-85,2024,0.9245152,1,Alto
RA-249,2024,0.9242843,1,Alto
RA-862,2024,0.92010736,1,Alto
RA-568,2024,0.9197045,1,Alto
RA-1594,2024,0.9186928,1,Alto
RA-762,2024,0.9186928,1,Alto
RA-618,2024,0.91868716,1,Alto
RA-754,2024,0.91866225,1,Alto
RA-905,2024,0.913736,1,Alto
RA-164,2024,0.913715,1,Alto
RA-1612,2024,0.91201437,1,Alto
RA-1299,2024,0.9114753,1,Alto
RA-1384,2024,0.91120374,1,Alto
RA-1549,2024,0.9092464,1,Alto
RA-750,2024,0.90817666,1,Alto
RA-1442,2024,0.9067621,1,Alto
RA-973,2024,0.90472984,1,Alto
RA-1337,2024,0.90342665,1,Alto
RA-1323,2024,0.90006465,1,Alto
RA-1554,2024,0.89637923,1,Alto
RA-1055,2024,0.8949393,1,Alto
RA-919,2024,0.8949133,1,Alto
RA-972,2024,0.891653,1,Alto
RA-587,2024,0.89132196,1,Alto
RA-474,2024,0.88996404,1,Alto
RA-267,2024,0.88859236,1,Alto
RA-538,2024,0.8871167,1,Alto
RA-911,2024,0.8868037,1,Alto
RA-822,2024,0.8865479,1,Alto
RA-138,2024,0.8844414,1,Alto
RA-149,2024,0.8841787,1,Alto
RA-422,2024,0.8834325,1,Alto
RA-1338,2024,0.8824323,1,Alto
RA-458,2024,0.881997,1,Alto
RA-529,2024,0.88076496,1,Alto
RA-305,2024,0.88067555,1,Alto
RA-392,2024,0.8800413,1,Alto
RA-387,2024,0.8798311,1,Alto
RA-444,2024,0.8793962,1,Alto
RA-971,2024,0.87922406,1,Alto
RA-1613,2024,0.8769225,1,Alto
RA-1420,2024,0.8763121,1,Alto
RA-947,2024,0.8762953,1,Alto
RA-1143,2024,0.8747777,1,Alto
RA-1392,2024,0.8744171,1,Alto
RA-1379,2024,0.874371,1,Alto
RA-863,2024,0.87260777,1,Alto
RA-1278,2024,0.87260777,1,Alto
RA-1301,2024,0.8716283,1,Alto
RA-1013,2024,0.8712233,1,Alto
RA-1542,2024,0.8700971,1,Alto
RA-382,2024,0.8678092,1,Alto
RA-555,2024,0.8670334,1,Alto
RA-1562,2024,0.8667076,1,Alto
RA-1591,2024,0.86606,1,Alto
RA-966,2024,0.86541563,1,Alto
RA-368,2024,0.8642721,1,Alto
RA-725,2024,0.8642,1,Alto
RA-1364,2024,0.8639411,1,Alto
RA-115,2024,0.86365044,1,Alto
RA-1009,2024,0.86297995,1,Alto
RA-1606,2024,0.8626981,1,Alto
RA-1342,2024,0.86253446,1,Alto
RA-1347,2024,0.8624782,1,Alto
RA-1482,2024,0.8621009,1,Alto
RA-965,2024,0.86061084,1,Alto
RA-1146,2024,0.85972434,1,Alto
RA-773,2024,0.85887444,1,Alto
RA-925,2024,0.8575399,1,Alto
